transaction_id,account_id,amount,currency,transaction_date,transaction_time,status,transaction_type,merchant_id,merchant_name,payment_method,country
TXN-00000000,ACC-1915,999999.99,GBP,2023-01-01,00:00:00,failed,purchase,MERCH-534,PayPal,credit_card,GB
TXN-00000001,ACC-1872,263.56,USD,2023-01-01,03:00:00,completed,purchase,MERCH-447,Amazon,bank_transfer,GB
TXN-00000002,ACC-1769,275.7,GBP,2023-01-01,06:00:00,completed,purchase,MERCH-348,Netflix,credit_card,GB
TXN-00000003,ACC-8123,116.56,USD,2023-01-01,09:00:00,completed,transfer,MERCH-316,Stripe,bank_transfer,GB
TXN-00000004,ACC-3800,163.57,USD,2023-01-01,12:00:00,completed,purchase,MERCH-552,Apple,wallet,IN
TXN-00000005,ACC-3940,144.19,USD,2027-06-15,15:00:00,completed,purchase,MERCH-438,Netflix,credit_card,IN
TXN-00000006,ACC-1112,1072.62,USD,2023-01-01,18:00:00,completed,refund,MERCH-364,Amazon,credit_card,DE
TXN-00000007,ACC-9752,434.75,USD,2023-01-01,21:00:00,completed,purchase,MERCH-471,Stripe,wallet,GB
TXN-00000008,ACC-4905,537.28,GBP,2023-01-02,00:00:00,completed,refund,MERCH-408,Airbnb,credit_card,AU
TXN-00000009,ACC-8176,75.08,USD,2023-01-02,03:00:00,completed,purchase,MERCH-305,Stripe,bank_transfer,IN
TXN-00000010,ACC-7368,605.22,EUR,2023-01-02,06:00:00,completed,purchase,MERCH-507,Stripe,bank_transfer,DE
TXN-00000011,ACC-2275,203.61,,2023-01-02,09:00:00,completed,purchase,MERCH-947,Apple,debit_card,US
TXN-00000012,ACC-8211,52.15,GBP,2023-01-02,12:00:00,completed,purchase,MERCH-554,Amazon,wallet,US
TXN-00000013,ACC-5952,358.9,GBP,2023-01-02,15:00:00,completed,refund,MERCH-637,Apple,wallet,IN
TXN-00000014,ACC-6438,55.83,USD,2023-01-02,18:00:00,completed,refund,MERCH-984,Walmart,debit_card,GB
TXN-00000015,ACC-2802,211.42,EUR,2023-01-02,21:00:00,completed,withdrawal,MERCH-651,Uber,credit_card,IN
TXN-00000016,ACC-8621,46.17,INR,2023-01-03,00:00:00,completed,purchase,MERCH-300,Walmart,credit_card,US
TXN-00000017,ACC-9384,275.86,GBP,2023-01-03,03:00:00,failed,refund,MERCH-458,PayPal,credit_card,IN
TXN-00000018,ACC-4658,79.1,USD,2023-01-03,06:00:00,completed,purchase,MERCH-538,Uber,wallet,DE
TXN-00000019,ACC-1832,84.35,USD,2023-01-03,09:00:00,completed,transfer,MERCH-526,Apple,bank_transfer,DE
TXN-00000020,ACC-8638,56.79,GBP,2023-01-03,12:00:00,completed,purchase,MERCH-234,PayPal,bank_transfer,GB
TXN-00000021,ACC-8985,14.77,USD,2023-01-03,15:00:00,completed,transfer,MERCH-195,Stripe,credit_card,GB
TXN-00000022,ACC-5557,46.89,GBP,2023-01-03,18:00:00,completed,purchase,MERCH-414,Netflix,wallet,IN
TXN-00000023,ACC-6211,521.61,USD,2023-01-03,21:00:00,completed,purchase,MERCH-921,Walmart,bank_transfer,IN
TXN-00000024,ACC-3007,165.18,GBP,2023-01-04,00:00:00,pending,purchase,MERCH-744,Apple,wallet,DE
TXN-00000025,ACC-1607,626.02,USD,2023-01-04,03:00:00,completed,purchase,MERCH-856,Uber,debit_card,GB
TXN-00000026,ACC-9496,934.6,USD,2023-01-04,06:00:00,completed,purchase,MERCH-256,Stripe,bank_transfer,DE
TXN-00000027,ACC-5346,1013.08,AUD,2023-01-04,09:00:00,completed,withdrawal,MERCH-472,Apple,bank_transfer,AU
TXN-00000028,ACC-3474,25.55,INR,2023-01-04,12:00:00,completed,purchase,MERCH-622,Airbnb,debit_card,GB
TXN-00000029,ACC-7238,274.18,INR,2023-01-04,15:00:00,completed,purchase,MERCH-490,Apple,bank_transfer,AU
TXN-00000030,ACC-1235,37.42,AUD,2023-01-04,18:00:00,completed,purchase,MERCH-474,Walmart,debit_card,GB
TXN-00000031,ACC-1719,743.65,USD,2023-01-04,21:00:00,failed,purchase,MERCH-423,Netflix,wallet,GB
TXN-00000032,ACC-3183,531.41,USD,2023-01-05,00:00:00,completed,purchase,MERCH-146,Walmart,bank_transfer,DE
